nama_tempat,user,review,rating
Unknown,hénrý máhéndrá,"Tempatnya strategis. Selalu ramai dengan pengunjung. Beroperasi 24 jam. Bangunan 2 lantai. Kebersihan dan pelayanan menjadi prioritas dan diutamakan.
Hanya tempat parkirnya yang kurang. Apalagi jika kondisi sedang ramai. Harus …",4
Unknown,fithri lim,"tas spunbond nya per agustus 2025 ini kok warna nya jelek, full kuning dan gbr /tulisan hitam, mana warna merah khas mcd dgn huruf  M nya ??? .. sekilas hampir mirip dengan tas spunbond roti O",5
Unknown,"Hendri Noorwidjaya, Afuk","Lokasi yang sangat strategis dan area parkir yang memadai. Untuk menu banyak penawaran yang selalu update (promo, dsb) & pelayanan-fasilitas (Over all it's ok) semua sudah sesuai Protap - SOP nya. Untuk ruangan khusus area smoking tidak di …",3
Unknown,Annissa Putri,"Kemarin malam ke mcd darmo, beli ice cream dan chocomarsmellow pie, trs saya pesan di layar pemesanan, beli ice cream cone 4pcs, pie nya 2,kan dine in ya, dilayarnya di tunjukin suruh nulis nomer meja. Nulis lah nomer meja 98. Kan kalau …",1
Unknown,agustin,"Baru kali ini nemu Resto siap saji di tengah kota tp pengunjungnya kampungan,rame kayak pasar ,tidak bisa menikmati makan dg tenang,bawaannya emosi.mungkin dikasih tulisan agak sopan kalo mo ngobrol ,tidak bersuara keras mengganggu pengunjung lain.",1
Unknown,Alvira Mustikasari,"Pertama kali ke mcd darmo,pas kesini ga terlalu rame banget,pesen pake app mcdonalds jadi murah aku pesen cheeseburger sama cocacola habis 28.500, kasirnya juga ramah pegawainya cekatan satset. Ga bingung nyari tempat duduk. Oiya buat …",5
Unknown,Achmad Sudianto,"Tempat sangat strategis pinggir jalan raya, parkir roda 2 & 4 cukup memadai, ada 2 lantai, ada toilet, mushola, wastafel, arena bermain anak, ruang khusus buat nobar piala dunia di lantai 2, secara keseluruhan sudah cukup baik, untuk …",4
Unknown,Tutut Irine,Ya ampun pegawainya guwalak guwalak. Cara ngomongnya ketus pol . Ada 1 mbak-mbak yang sabar banget. Lainnya wes ga usah di omong. Gething,2
Unknown,EW Tanto,"- Ada drive thru
- Pemesanan menggunakan smart TV
- Pembayaran menggunakan tunai atau non tunai …",4
Unknown,Yuda Sanjaya,"Rame, bersih, parkir ada, drive thru ada. 2 lantai non smoking area semua. Tidak buka 24 jam.",5
Unknown,Andy Gondowijoyo,"Tempatnya sekarang udah bagus.
Btw, lagi ada prosperity burger loh di akhir des 2019 & awal jan 2020.
Kuy cobain, blackpepper nya rada nyegrak tapi okelah hehe …",4
Unknown,Ahmad Zaini,"Tempatnya bersih nyaman, mudah di jangkau. Ada ruang Playground kecil di lantai 2. Area parkir memadai. Pelayanannya bagus, recommended untuk hangout bareng temen atau sekedar nyemil bareng keluarga.",5
Unknown,lila kurnia damayanti,Ada tempat parkir mobil dan motor bisa drive thru. Ada smoking area dan mushola makananya berkisar harga 10-40 rb . Tempat nyaman ada playground buat mainan anak anak .,4
Unknown,Ubet Clara,"Tempatnya nyaman .. bangunannya itu lohh Joss

Soal rasa ya sama kaya McD yg lainnya",4
Unknown,Edo Suhartanto,"Kadang2 bau pembersih lantainya kurang nyaman ...

*Update Sept 2022* …",4
Unknown,dian miftaqul sobirin,Salah satu restaurant fasfood yang terletak di pusat kota. Sangat strategis.  Buka 24 jam nonstop sehingga tengah malam pun juga cocok untuk tempat nongkrong bersama teman. Fastfood ini memiliki 2 lantai dimana lantai 1 terdapat sales …,4
Unknown,ika febriani,"Pelayanan cepat, fast respon staffnya. Just info aja, parkirnya berbayar. Over all good",5
Unknown,Lutfia Ervany,Mau pesen aja ribet banget d sini g seperti d mcd cabang lain..maubmasukin poin jg g bs..kecewa banget,1
Unknown,dicky eldianto,Kami sekeluarga selalu mampir disini saat nggowes di hari Minggu. Protokol kesehatan cukup bagus. Sepeda mudah diparkir dan mudah kita awasi.,5
Unknown,Fatahilla Afnan,"Biasanya pesan lewat aplikasi dikasih  ayamnya dada, baru kali ini di kasih paha bawah",1
Unknown,irene,"Pemesanan tdk di kasir, untuk yg tdk terbiada, akan membuat ngantri  lama..",5
Unknown,David Wibi,"Suka sm es krim Mcflurry nya, coffee, burger dll.. Enak semua disini.. Yang jadi trouble kalau banyak orang ke sini cangkruk nya lama banget, skalian kerja tugas.. Jadi mau cari tempat duduk susah, tapi emang ga setiap hari sih.. Kalau banyak tugas aja disini rame",5
Unknown,ahmad sulthoni,"enak banget, salut sama pelayannya yang garcep",5
Unknown,banu adrieq,"Mcd merupakan tempat makanan cepat saji yang ada di setiap daerah, tempatnya sangat nyama  dan ramai. Sangat cocok digunakan untuk tempat ngumpul dengan teman, kerja kelompok dengan teman, atau hanya sebagai tempat makan saja. Makanan nya …",4
Unknown,Mokhamad Angga,"Tempatnya besar, parkiran cukup luas, bersih juga, bisa dibilang salah satu mcd favorit di surabaya. Fasilitas juga lengkap, toilet, wastafel, mushollah, area khusus merokok, dan play ground.",5
Unknown,Dwi Martsitta,"salah satu cabang mekdi yg nggak pernah sepi kayaknya karna lokasinya yg strategis di tengah kota.
terakhir kali kesini nyoba layanan drive thru-nya dan ternyata memuaskan sekali. …",5
Unknown,Drh Muriani Mustari,"Balik dari Surabaya menuju Sidoarjo, mampir, sekedar beli kentang goreng, eskrim, burger.",5
Unknown,Arnisa Maulidiah,"Makanan dan Minuman: Aku pesen ayam goreng, fruit tea, dan burger Untuk rasanya seperti MCD pada unumnya
Tempat: Bersih, luas, danada lantai dua. …",5
Unknown,Muhammad Nafhan Azzam,Sejauh ini masih nyaman. Ada lantai dua nya di atas jadi jangan sungkan untuk naik. Tempat agak terpencil dan kurang begitu kelihatan klo dari jalan. Makanan standar. Pelayanan cepat.,5
Unknown,Trias kurnia nurfiah,"Selalu rame tiap kali kesini. Sering dijadikan tempat untuk merayakan ulang tahun, terutama anak-anak kecil.
Tempat yang OK untuk nongkrong dengan teman-teman. Dengan ditemani dengan berbagai macam menu makanan yang bisa dipilih.",4
Unknown,oin oin,"Place: 9 out of 10
Parking area: 9 out of 10
Service: 9.5 out of 10 …",4
Unknown,Muhammad Andika Putra,"Mcdonald yang letaknya cukup strategis, pas di samping perempatan Darmo yang tentu banyak orang akan datang.
Staff disini baik, sopan, profesional dan ramah baik kepada customer maupun …",4
Unknown,Kalmasera Subiakto,"Enak banget nongkrong disini. Walaupun jam rame, masih bisa selalu dapat tempat duduk. Pelayanannya ramah dan cepat. Selalu sigap membantu kalo ada yang gabisa pake mesin pesan itu. Kalo ada miss juga langsung dikomunikasikan. Bersih, bersih toiletnya, tempat cuci tangan juga bersih.",5
Unknown,Tanto Doank,"Salah satu restoran siap saji yang sudah terkenal di kalangan masyarakat Indonesia.
Sekarang pelayanannya semakin meningkat dengan adanya mesin pemesanan sehingga …",5
Unknown,Fitria Rahani,"Acara syukuran kelas jadi rame banget...
MC nya keren...
Makasih MCD DARMO akan jadi kenangan yang indah buat temen2 kelas 1A SDN DR. SOETOMO V",5
Unknown,Erick WP,"Buka 24 jam, ada colokan listrik sama wifi kenceng. Deket sama atm. Lokasinya strategis. Parkirnya aman. Lumayan banyak tempat duduknya. Cocok buat dipake kerja atau nugas kuliah 👍🏻 …",5
Unknown,Pradipta Nugraha,Lokasinya strategis di jalan protokol raya darmo. Ada 2 lantai tapi menurutku lebih nyaman duduk di lantai bawah. Ada ruangan smoking area di lantai atas jadi bagi yg merokok ada tempatnya sendiri. Yg jadi perhatian lampu penerangannya …,4
Unknown,Ananda W Chandra 庄,Kurang bersih as ussual sop mcd,5
Unknown,Andwar,"Salut sama sistem antrian disini, gak lama, cara ordernya mudah dan penyajiannya cepet banget.
Dan yang paling saya suka pegawainya gercep kalo liat ada customer kesulitan saat bikin order, langsung dibantu. helpfull banget...😁 …",5
Unknown,Fahmi Salim,"Parkir mobil kadang penuh
McDonald's Corporation NYSE: MCD (di Indonesia terkenal dengan sebutan McD, dibaca Mekdi) adalah waralaba rumah makan siap saji terbesar di dunia. ... Restoran …",5
Unknown,A L F,Overall 5/5 tapi karena datengnya pas hari Minggu so .... full of people ugh but it's fine Krn Alhamdulillah service nya cepet bgt so I'm glad I can eat asap!,5
Unknown,Aditya Akbar,"-Sudah req untuk dada tulang. Eh dipilihin dada mentok. Bagian Daging ayam yang sangat susah bumbunya buat masuk.
-Kelayakan Sprite perlu diperhatikan, berasa minum soda airputih …",2
Unknown,Henry asmoro,"McDonalds yang isinya anak stella marris, sinlui, jadi kayak kantinnya mereka, seruu. Familiar with all ages, bisa rapat. Kerjain tugas ato sekedar nongkrong bareng teman2, masih aman buat anak kecil atau keluarga, terjangkau dari jalan utama, parkir motor dan mobil masih cukup luas",5
Unknown,mas hendrik,Tempat cukup nyaman,5
Unknown,andre santoso,"McDonald's ini cukup besar dan lokasinya sangat strategis, berada di pusat kota dekat dengan sekolah dan daerah bisnis. Store buka 24 jam, pelayanan cepat, kebersihan area baik, tersedia seating area indoor dan outdoor. Area parkir tersedia cukup besar pada halaman depan dan tersedia drive thru.",5
Unknown,ErinHt Ningsih,"Waktu sampak didarmo udah kemaleman jadi kita drive thru pelayanan cepat, sigap, ramah karena ditakutkan macet mengingat dipinggir jalan maka untuk pemesanan langsung di datengan dengan mbak mbak nya dan pas sudah pesan dipengambilan ada sedikit tambahanpun dilayani",5
Unknown,Rifka Rosita Noviyana,"Selama pandemi hanya buka sampai jam 10 malam. Pelayanan cepat, jika ada antrian agak panjang atau customer bingung pegawai sigap. Bapak yg jaga di depan pintu ramah bgt. Protokol kesehatan diterapkan. Pengunjung harus duduk sesuai kursi yg …",5
Unknown,agustin eka,Pertama beli di mcd ini krn sekalian ke klinik athena.. sumpah bagus bgt pelayanannya.. kakak2nya ramah dan sigap bgt.. tau q antri drive thru pakai motor ditengah panas nya surabaya sampek pakai jaket buat nutupin kepala aku tpi kakak nya …,5
Unknown,Thyca Chan,"Tempat strategis, parkir luas, tempatnya nyaman buat nongki” syantiikkkk sama temen” sekolah/kuliah, pelayanan juga cepet & ramaahh.. Pertama kali coba pie choconya, astagaaaa ueeennaaakkkk bgt!! Ngk nyangka & kzl cuma beli 1 hehehe.. Selain semua makanannya udah pasti enakk, ternyata Pie nya sooo recommenced bgt! 💛💛💛💛💛 …",5
Unknown,Mughits Ahmad,McD Darmo ini hampir selalu ramai. Di lantai 2 sering terlihat anak-anak muda usia SMA yang ngerjakan tugas kelompok. Tempatnya memang nyaman buat diskusi. Buat yang Muslim gak perlu khawatir kalau mau sholat. Ada mushollah di lantai 2.,4
Unknown,Ira Luvyra,"Bangunan 2 lantai, ada tempat outdoor. AC dingin (nyaman). Pelayanan kurang informatif, customer tidak ditawari size menu, langsung diberi size large, tapi masih saya anggap pelayanan bagus karena ada karyawan lain bersedia membantu melayani komplain. Toilet kurang bersih.",4
Unknown,Ana Tunisa,"Staff ramah, cekatan. Kebersihannya tolong dikittt lg, apalagi pas rame. Btw, waktu GO-PAY PAY DAY, outlet ini gak ikut, cuma dapet 20% cashback (regular promo)",4
Unknown,Imron Rosyadi,"Gerai McD paling dekat dengan rumah. Makananya enak khas McD, banyak promo dari Aplikasi, pokoknya kesukaan Anak dan Orang Tua. Tempat parkir lumayan luas untuk mobil dan motor. Terdapat 2 lantai, dilantai ada permainan anak dan yang paling saya suka disini ada Musolahnya. Musolah bersih sekali, dan wangi.",5
Unknown,Budhi Tanusa,Tempat nyaman dan strategis,5
Unknown,Ari Akbar,Temptnya sih nyaman banget ayam dan telurnya paling enak sih di mcd darmo ini menurutku sayangnya cuma bisa dine in 1 jam doank masih pandemi,5
Unknown,Rissa Andriana D.N,"Kesini sama pacar 💕 jujur baru pertama kali ke Mcd dan ngedate di McD. Waktu pesan makanan pake touchscreen, kita memang agak lama sih apalagi binggung pas mau scan pembayaran (maaf). Bapak2 dibelakang kita ngomel2 katanya pesen makanan aja …",4
Unknown,Yosua Pirera,"Untuk lantai duanya saat jam pagi hari belum dibuka, namun cocok untuk berkumpul bersama teman atau kolega membicarakan urusan bisnis atau tugas sekolah/kampus",4
Unknown,A. R. Vinci,"Saat tadi ke sana, ada spot yang sepertinya sedang dalam renovasi. Ada staff yang kemudian memalu-malu, mengelas (?), pokoknya bertukang di area lantai 2. Suara dan baunya cukup mengganggu. Selain itu saya merasa McD Darmo tidak serapi …",3
Unknown,Ira Logo,"Kalau malam hari memanf cenderung ramai. Panggilan pesanan memakai nomor suaranya kencang banget. Serasa lagi sambil amtri di tempat umum.
Bisa seharusnya cukup tampil di layar aja. …",4
Unknown,Widy Oka,"Kesini berteduh karena waktu itu hujan, rame banget antrian panjang yang ngelayani kurang, untungnya ada salah satu pegawai yang cekatan akhire beres satu per satu, untuk makanan offer all ok sih, seperti mcd kebanyakan letak startegis banget . . ,",5
Unknown,Taniyaa Uyee,"Mc Donald's Darmo

Lokasinya berada di sebelah bank mandiri polisi istimewa, tempatnya dingin, …",5
Unknown,Fatahilla Afnan,"Bad recommend, sering tidak sesuai dan pelit",1
Unknown,Handoyo Ongkowidjojo,Kalo McD sudah nggak perlu diragukan lagi,5
Unknown,Alvin C F,"Tukang parkirnya mending diganti dan no tip. Sekelas mcd lho.
Jam 10 an pagi kesana. Tukang parkir ga bantu,baru datang dia. cmn kayak patung tp nagih uang parkir. Jos …",1
Unknown,Chenouritha,"Pelayanan cepat, responsif, ramah
Makanan panas saat disajikan
Eskrim juga masih beku, tidak leleh …",5
Unknown,Cahya Vitdya,"kalo bingung nyari makan ya ujung"" nya MCD heheh, tempat enak klo di lantai 2 cuman sering rame",5
Unknown,dwi ardi irawan,"mcdonald dengan lokasi strategis, area raya darmo, salah satu jalan utama di surabaya. ada 2 lantai, tempat nya bersih dan rapih. karyawannya sigap juga membersihkan setiap kali pelanggan selesai makan. dan buka 24 jam. itu point plus sih. oh ya ada area outdoor juga di mcd ini.",4
Unknown,Dian Khusniyati,"Selama pandemi, mereka patuh dg protokol. Cek suhu tubuh benar2 dilakukan, pengaturan tempat duduk juga disiplin",4
Unknown,Fatur Rahman,"pelayanan lumayan cepat , tp kalau dini hari mending tunggu pagi agar pesanan bisa cepat ready",5
Unknown,Julian Widjaja,"Ya standart lah namanya mcd, cuman yang cabang darmo ini gtw kenapa kurang enak kalau dibanding sama cabang lain seperti mcd basra",4
Unknown,aisha shiefa,"Agak repot untuk order. Karena self service, gk lgsg ke petugas nya. Jadi antri nya agak lama. Untuk tempat nya tergolong nyaman dengan ac yg berhembus dengan sejuk. Karena sedang masa pandemi, jadi kurang cocok untuk dibuat tempat nongkrong. Dikarenakan kita harus jaga jarak.",4
Unknown,Rahayu Wuryani,pelayanan cpt pakai drivetrue gak ngantri terlalu lama dan lagi menjaga diri saja meskopun masuknya d cek temperatur badan dan d batasi yg d dalam lebih aman bawa pulang ada menu yg baru ayam bumbu gulai semoga cocok d lidah,5
Unknown,Kendrick Ong,"Lokasi strategis , ac nya dingin , makanan enak",5
Unknown,Michael Yonathan,Mcd vintage pelayanan cepat,5
Unknown,kurniawan wahyu,"Tempat besar, ada outdoor nya juga, smooking room ada dan 24 jam, which is aku suka , tapi tolong toilet lebih sering dibersihkan, ,",4
Unknown,Desy Indraw,Buka 24 jam. Ke sana saat bulan Ramadhan. Cari makan buat sahur. Saking enaknya nongkrong hampir lupa kalau mau imsak 😁 …,4
Unknown,Masad Hariy,"Kecewa banget sih, uda lama banget.. Beli Panas special Large dan pesennya paha atas.. malah dikasih ayam kecil banget..ayam anak TK atau gimana.. ehh satunya dikasih sayap juga.. pas ditanyain, katanya ayamnya habis.. konyol banget..masih …",1
Unknown,Lilis FS,Tempatnya nyamann nggak terlalu bising 😍. Rasanyaa selalu samaa nggak ada kurangnyaa❤️ …,5
Unknown,Devita Wulansari,"Sudah lama nggak makan di Mcdonald yang ada disini. Dan masih rame sekali, meskipun sampe disana sampe jam 11 malam. Pelayanan bagus dan cepat meskipun ramai. Parkir luas dan nyaman.",5
Unknown,c prathama,"Restaurant cepat saji yang buka 24 jam dalam seminggu.
Untuk harga, rata-rata sama ya, seperti cabang yang lain.
Kebersihan, sangat terjaga …",5
Unknown,Mawar Rani,"Tempatnya sangat ramai pengunjung jadi siap2 gak kebagian tempat saat siang
Pencahayaan kurang baik
Yang keren adalah ada Mushola nya",4
Unknown,Inggar Zollydanura,"Setelah lebaran,  ajak anak2 makan dan main di Mc D darmo,  masih sepeeti biasa,  ramai pengunjung,  dan kebetulan,  kmr kesana pas qt dapat bonus,  belanja ke2 bisa free mc flurry...  Hehehee",4
Unknown,Puthy,"McDKid's di McD Darmo. Happy Play Party Kitchen Tour. Bikin beef burger dan keliling dapur , dapat ice cream cone juga. Cuma bayar 20K uda bisa bawa pulang beef burger n ice cream cone. Ohh yaa, kalo mau jadi member McDKid's bisa langsung datang dan tanya². Terima kasih McD Darmo",5
Unknown,Nur Asiyah,"Harga standar layaknya McD lainnya. Parkir motor 2 ribu. Tempatnya cukup luas, tapi selalu ramai apalagi di jam makan.",4
Unknown,Pepen Wicaksono,"Lahan parkir cukup luas, menerapkan & memberikan himbauan protokol kesehatan kepada setiap pengunjung, service yang cepat di saat ramai pembeli di hari kedua libur lebaran & tempat makan yang mampu menampung banyak pengunjung.",5
Unknown,MHI photography,"Pas pertama kesini karena kehujanan dijalan habis dari Madura, nyari tempat neduh disini wkwk akhirnya masuk sekalian nunggu hujan reda",5
Unknown,F L,"Pros: selama wabah corona ada diskon voucher di toped sebesar 40%, kerenyahan kulit menu choco strawberry pienya enak. …",3
Unknown,Frsk D,"Pilihan paling tepat dan cepat kalo mau makan sambil nungguin orang mah.
Jadi gak kesel lah ya nunggunya kalo ditempat yang dingin sambil ngemil.",4
Unknown,valentine sigalingging,"Tempatnya bersih, tapi klo minggu pagi antrinya luar biasa",5
Unknown,Bagus Tamtomo Hadi,"Kesini pagi2 pas mau ngerjain kerjaan. Pas masuk terus pesen makanan langsung ambil tempat di lantai atas. Abis duduk beberapa menit ngerasa gerah, ternyata ac nya mulai nyala jam 11an. Mau pindah bawah terlanjur udah pw dan mager soalnya udah nyalain laptop sama ngecharge juga. Alhasil dari jam 9 sampe jm 11 ngusap keringet mulu 😂 …",3
Unknown,Ananda Dita,"Kemarin kesini ngantar anak kitchen tour.. staffnya helpful, tempatnya bersih, ramah anak. Makanan sudah halal MUI dan enak tentunyaa.. thankyou McD",5
Unknown,Lukman Hermawan,"Pelayanan pak subur di mekdi darmo sangat membatu yang binggung memesan di layar, gak antri2 juga pak subur ini baik saya lihat bantu bersihin sampah, juga bukain pintu bilang trima kasih hati2 dijalan, saya juga dibantu saat pake promo harus lewat mcdelivery super buat pak subur",5
Unknown,Saniya,"beberapa tahun lalu saya kesini krn suasananya yang cocok buat nugas, ga terlalu sepi dan ga terlalu ramai, waktu itu gaada corona hehe kangen ya. dua minggu lalu saya berkunjung kesini dengan orang yang berbeda, suasanya juga jadi berbeda …",5
Unknown,borry Sabastian,"Pegawai nya ramah,, dan peduli dengan anak2,, baru masuk langsung d sapa dan anak saya langsung dkasih mainan stiker,,, anak saya langsung bilang ,mba nya baik pa,,, thank you mc d darmo",5
Unknown,Rurin Claradiesty,"Fast food strategis pas hari minggu
Habis cfd an dan senam mampire McD
Sehat ora
Lemu malahan 😂 …",4
Unknown,Shinta Dewi,"Resto nya terletak di jalan utama Surabaya,,pelayanan memuaskan,ramah,bersih. Karyawan sll tersenyum n siap membantu",5
Unknown,Rosita Novia M.,"Tempat makan cepat saji di tengah kota deket dengan Taman Bungkul
lokasi parkir luas tmpt makan mayan banyak ada 2 lantai ,
ada smooking area",5
Unknown,Marisa Irene Lee,"Tempat yg selalu dicari kalo gatau mau kemana lg, atau abis CFD an pasti kesini .
Paling suka sm pelayanan kedai fastfood satu ini. …",4
Unknown,Octo R H,"pesan dri GrabFood, request Fanta NO ICE, dapetnya kayak gini
jangan mensabotase driver GrabFood, mereka sudah menyampaiakan note dri customer, tapi karyawan McD Darmo yang tidak benar kerjanya",1
Unknown,julianto julianto,Hari ini dapat sarapan chicken muffin gratis. Tempat ini cocok buat kumpul kumpul,4
Unknown,Louisa Dewi,"Saya kadang2 aja maem di McD .
Maklum duit paspasan😅
Nah , kalo ke McD itu cabang yg : darmo & satelit . …",5
Unknown,Novi Kristina Aris Sandi,"Fast food tu emg slalu enk ya anytime you want dan buat ngemil2 santai, pilihan menu dsni variatif skali dan lengkap, pelayanan ramah dan tmpatnya tdk jorok, pkknya nyaman skali buat mkan ato ngemil santai",5
Unknown,Loeloe Ensoe,"Parkir luas, lokasi dijalan protokol Surabaya, buka 24 kam",3
Unknown,Emma Dewi Aisyah,pelayanannya baik dan melatih customernya buat buang sampah makanannya sendiri sebuah tindakan yg baikk untuk melatih mandiri,5
Unknown,Anita Estiana,"Masa pandemi begini resto nya tutup jam 22.00 protokol kesehatan juga dijaga kok, tempatnya cozy
Kali ini pesan crispy chiken yg rasanya seperti kurang meresap bumbunya, jadi hanya gurih dibagian kulit dan tepungnya dagingnya hambar. Tapi tetep love McD kok❤",4
Unknown,Apel Malang,"Pelayanan cepat,  ramah.  Parkir luas tp klo mw makan dtempat kondisi lntai 1 sempit,  lantai 2 nya luas",4
Unknown,cathchandra,"Kualitas kriuk tepungnya tidak seperti dulu, kentangnya juga ga ada rasa",4
Unknown,MAYDINA,"besarrr banget tempatnya, biasanya kalo siang antrinya panjang dulu waktu sebelum ada pandemi tapi gatau kalo sekarang soalnya biasanya beli ke mcd malam"" gitu. gak pernah sepi pengunjung si wkw",5
Unknown,Fajar Nugraha,"Mungkin ada sedikit pengurangan kuantitas big mac ya? Kok ukurannya berkurang. Sambelnya berasa ga ada pedespedesnya juga.. Lainnya oke kok..
Saran, papan pemesanan sebaiknya ada ditempel manuals petunjuknya supaya memudahkan pengguna awal dan lansia..",5
Unknown,Bagus Ramadhani,Tempatnya nyaman untuk makan ditempat,5
Unknown,Mela Intan Yessica,"Tempat nyaman, pw bgt klo udah makan disini pas bgt suasana nya🙃 …",5
Unknown,Nisa Abdullah,"Bismillah

Baru pertama kali kesini, pelayanannya oke, tidak mengantri alhamdulillah, tmpt …",5
Unknown,Offline Off,Yah kek mekdi pada umumnya cuman kok kayaknya agak sempit ya padahal dari luar ketok besar.,4
Unknown,Kinantilla Tsaniyah,"nyaman dan enak makan di di mcd sini soalnya tempatnya luas, waiter/waitress nya ramah dan pelayanannya cepet banget meskipun rame",5
Unknown,Rahmat Shinigami,"hidanganya selayaknya MCD biasanya…
dan tempatnya enak banget dibuat nongkrong nyaman dan aman",5
Unknown,Uty Haneen Tape Ketan Ijo,"ngerayain ultah keponakan, paket lengkap. Semua dah disiapkan oleh McD, jadi gak repot. Trims McD, sukses selalu 👍 …",5
Unknown,Claudia Amanda,"Mcd di sini selalu rame dan crowded 😐😐
Sehingga service nya lama
Untuk rasa ga usah di tanya lagi …",5
Unknown,Yulita Ayu Handayani,"Pelayanan baik, pesan self service disediakan 3 monitor, bisa cash, bisa cashless
Nyobain menu baru ayam lengkuas sambal bajak + lemon tea nya, worth it to buy, apalagi yg bubuk lengkuasnya gurih seperti khas warung2 ayam bebek cabang purnama 👍🏻 …",5
Unknown,Kirana Gita Larasati,"Staff yg namanya mas Rifka ini rasis. Okelah gue terima dia nolak request gue buat milih ayam (gue anti banget sama sayap plis), tapi ama cece2 setelah gue yg minta milih ayam langsung diiyain DENGAN JELAS HAHA. gue gembel kali ya sampe deserve to get bad service. Padahal gue ga ngemis. Thanks.",1
Unknown,DAPUR CS,"Makanan standar MCD, tempatnya selalu ramai, karena letaknya yg sangat strategis, dekat perkantoran dan sekolah. Toilet yg perlu ditingkatkan kebersihannya.",3
Unknown,Andy Irawan,"Fastfood dengan pelayanan cepat dan protokol covid.
Mana lagi selain di MCD",5
Unknown,Yuli Rahmawati,Lantai atas kotor banget .. informasikan ke pelanggan jika selesai makan di buang sendri jangan nunggu pelayan yang nge buang .. atau orang lain yang akan duduk yang ngebuangin .. 😅 …,5
Unknown,Nunuk Setyaningsih,"Saat habis tugas pagi, lalu akan lanjut sampai siang, langsung aja jalan kaki sebentar utk sarapan",5
Unknown,Ilham Nuansa,"Engga usah diragukan lagi, semua gerai McDonald's selalu bikin nyaman buat makan dan rasanya selalu enak. Pelayanan yang diberikan juga bagus.",5
Unknown,yulita anggrainy,"biasanya sy kalo lapar dijalan, sll mampir dl ke tempat ini. kalo mau makan gak pake ribet, dan cepat.. langsung kesini aja. ("",)",5
Unknown,Arum Grace,"Ayamnya dpat seperti itu keras, kayag ayam kmaren dihangatkan...masih mending yang di grafam...masak ayam gini dikasih ke customer",3
Unknown,Prima Witanti,"Mcd darmo ini dekat dengan kota lebih tepatnya taman bungkul. Seperti mcd pada umumnya menunya juga sama, tempatnya nyaman.
Kalau ayamnya dari segi harga lumayan juga. Tapi saya senang dengan ice creamnya the best harga murce 👍 …",4
Unknown,Yusuf Fy,Tempatnya bagus besar tp jgn kesana waktu CFD Karena ramai,5
